bankName,email
LUKEPORT NIGERIA LIMITED  CURRENT ACCOUNT,hbala@nibss-plc.com.ng;aomolade@nibss-plc.com.ng
United Bank Africa (UBA) Plc,aomolade@nibss-plc.com.ng
Innovectives Limited,aomolade@nibss-plc.com.ng
Parkway ReadyCash,hbala@nibss-plc.com.ng
Heritage Bank Plc,hbala@nibss-plc.com.ng
Unified Payment Services Ltd.,hbala@nibss-plc.com.ng
C24 Limited,hbala@nibss-plc.com.ng
ZENITH BANK PLC,hbala@nibss-plc.com.ng
Xpress Payment Solutions Limited,hbala@nibss-plc.com.ng
Chams Mobile,hbala@nibss-plc.com.ng
Jaiz Bank Plc,hbala@nibss-plc.com.ng
ECOBANK NIGERIA LIMITED,hbala@nibss-plc.com.ng
Wema Bank PLC,hbala@nibss-plc.com.ng
Sterling Bank PLC,hbala@nibss-plc.com.ng
First City Monument Bank,hbala@nibss-plc.com.ng
ITEX INTEGRATED SERVICES LTD.,hbala@nibss-plc.com.ng
YELLO DIGITAL FINANCIAL SERVICES LIMITED (MTN),hbala@nibss-plc.com.ng
Visual ICT Limited,hbala@nibss-plc.com.ng
KEYSTONE BANK,hbala@nibss-plc.com.ng
TAJ BANK,hbala@nibss-plc.com.ng
Access Bank Plc,hbala@nibss-plc.com.ng
Unity Bank Plc.,hbala@nibss-plc.com.ng
FIDELITY BANK PLC,hbala@nibss-plc.com.ng
UNION BANK,hbala@nibss-plc.com.ng
FIRST BANK OF NIGERIA LIMITED,hbala@nibss-plc.com.ng
ETRANZACT INTL PLC,hbala@nibss-plc.com.ng
Polaris Bank,hbala@nibss-plc.com.ng
PARALLEX BANK LIMITED,hbala@nibss-plc.com.ng
Bank of Agriculture,hbala@nibss-plc.com.ng
Cellulant Nigeria Limited,hbala@nibss-plc.com.ng
GTBANK,hbala@nibss-plc.com.ng;aomolade@nibss-plc.com.ng
Stanbic IBTC Bank Plc.,hbala@nibss-plc.com.ng
PALMPAY LIMITED,hbala@nibss-plc.com.ng
Interswitch Financial Services Limited (IFIS),hbala@nibss-plc.com.ng
NIRSAL MICROFINANCE BANK,hbala@nibss-plc.com.ng
Funds and Electronic Transfer Solutions Ltd,hbala@nibss-plc.com.ng
OPAY DIGITAL SERVICES LIMITED,hbala@nibss-plc.com.ng
SUNTRUST BANK NIGERIA LTD,hbala@nibss-plc.com.ng
